leaseID,startDate,endDate,durationMonths,leaseCondition,email,transactionID,discountID
L00001,2024-12-06,2027-03-28,27,Multipurpose,natasha.clark2197@yahoo.com,TR01554,
L00002,2025-09-10,2026-06-12,9,Standard,christopher.nelson9583@yahoo.com,TR01067,D005
L00003,2025-05-16,2025-06-11,1,Multipurpose,catherine.mckenzie801@hotmail.com,TR01217,D003
L00004,2025-07-08,2027-05-04,22,Standard,troy.stevens7248@yahoo.com,TR00204,
L00005,2024-01-22,2025-12-01,23,Standard,jessica.anderson6330@yahoo.com,TR00686,
L00006,2024-09-01,2026-04-13,19,Standard,brittney.frost882@gmail.com,TR00816,
L00007,2023-12-31,2024-08-19,8,Climate Controlled,jay.thomas8424@hotmail.com,TR00193,
L00008,2025-09-16,2027-02-24,17,Multipurpose,david.hernandez5566@yahoo.com,TR01842,
L00009,2025-08-25,2026-05-13,9,Multiple Access,peter.wagner5344@hotmail.com,TR02040,D001
L00010,2024-09-05,2026-02-18,17,Multiple Access,theresa.lawrence9405@yahoo.com,TR02974,
L00011,2023-12-27,2025-11-16,23,Vehicle Storage,maria.hinton8952@hotmail.com,TR02042,
L00012,2025-04-04,2027-01-17,21,Vehicle Storage,shane.powell9075@yahoo.com,TR00787,
L00013,2023-12-27,2024-08-03,8,Multiple Access,michelle.mclaughlin7215@hotmail.com,TR00140,D010
L00014,2025-03-31,2026-02-06,11,Climate Controlled,adrian.gonzales3558@yahoo.com,TR01520,
L00015,2025-02-16,2025-06-24,4,Multipurpose,jesus.chapman2677@hotmail.com,TR00971,
L00016,2024-12-16,2025-12-27,12,Vehicle Storage,vanessa.mitchell1672@gmail.com,TR02261,
L00017,2025-11-07,2026-05-31,6,Climate Controlled,stephanie.valenzuela113@yahoo.com,TR01875,
L00018,2025-08-11,2026-12-16,16,Multiple Access,kevin.freeman1237@yahoo.com,TR02129,
L00019,2024-04-04,2025-09-03,17,Multiple Access,jessica.gross5187@gmail.com,TR00971,D001
L00020,2025-03-10,2027-09-03,30,Climate Controlled,jennifer.padilla1824@hotmail.com,TR00796,
L00021,2025-02-22,2026-08-30,18,Multipurpose,krista.snyder778@gmail.com,TR02318,
L00022,2025-02-23,2026-08-01,18,Climate Controlled,trevor.brown1157@hotmail.com,TR02551,D002
