transactionID,amount,paymentType,paymentDetails,transactionDate,transactionStatus,email
TR00001,4772.53,Debit Card,4260281494303673,2025-07-10,Failed,roy.monroe2242@yahoo.com
TR00002,4679.06,Mobile Payment,GB21TCCQ77096127457747,2025-08-16,Failed,brittany.reilly1612@yahoo.com
TR00003,3893.04,Mobile Payment,GB05VJEH88234646210220,2025-09-30,Pending,john.patterson6988@hotmail.com
TR00004,2599.99,Credit Card,2710713969270292,2025-10-17,Pending,doris.williams6833@hotmail.com
TR00005,3566.84,Credit Card,6011292829383089,2025-05-15,Failed,raymond.johnson5390@hotmail.com
TR00006,3442.78,Debit Card,342374293126666,2025-07-06,Pending,justin.montes7558@hotmail.com
TR00007,3568.09,Bank Transfer,PRAXGBAL,2025-02-24,Failed,david.fowler524@yahoo.com
TR00008,3268.7,Credit Card,4394474940170379,2025-05-15,Failed,alejandro.anderson6980@gmail.com
TR00009,4149.03,Credit Card,3586019328804071,2025-05-08,Completed,darrell.padilla8485@yahoo.com
TR00010,2080.67,Bank Transfer,IDVIGB0CC89,2024-11-26,Completed,jeff.rodgers4583@hotmail.com
TR00011,3755.05,Credit Card,6523139613552281,2025-05-11,Pending,ryan.hendrix860@hotmail.com
TR00012,3591.17,Bank Transfer,RGVJGBDVN46,2025-09-22,Failed,michael.bradford1943@hotmail.com
TR00013,3491.5,Credit Card,4382219936259692,2025-01-04,Pending,carl.hunter4869@yahoo.com
TR00014,3074.98,Mobile Payment,GB80VVKO21016100319766,2025-03-02,Failed,melissa.allen1440@hotmail.com
TR00015,3364.0,Debit Card,3548624800603995,2024-12-08,Pending,barbara.avery7228@gmail.com
TR00016,3264.08,Bank Transfer,EBXHGB44,2025-05-17,Pending,brian.lee670@yahoo.com
TR00017,4835.38,Debit Card,180094668169837,2025-08-10,Completed,antonio.clark7843@hotmail.com
TR00018,3744.92,Debit Card,4415586847991105,2025-11-13,Pending,david.perez5059@hotmail.com
TR00019,4098.68,Bank Transfer,EIKCGBJQ,2025-06-06,Completed,carolyn.king9760@hotmail.com
TR00020,4609.55,Mobile Payment,GB89RSHH79562306373622,2025-07-03,Failed,michael.bernard9943@hotmail.com
TR00021,2462.21,Mobile Payment,GB43DVRQ93224082416750,2025-04-14,Failed,cynthia.shah5079@hotmail.com
